"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.3%,,9200,"All Students","Children with disabilities",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.3%,,32136,"All Students","Economically Disadvantaged",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60.4%,,5906,"All Students","English Learner",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",39%,,665,"All Students","Foster care students",,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",48%,,2980,"All Students",Homeless,,,,,
2021-2022,ARIZONA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.4%,,41342,"All Students",Hispanic/Latino,,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.2%,,35864,"All Students","All Students in SEA",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,230,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,961,"All Students","Asian/Pacific Islander",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,649,"All Students",Asian,,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,312,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.7%,,7016,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,1023,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.8%,,21606,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.9%,,4573,"All Students","Children with disabilities",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.4%,,24215,"All Students","Economically Disadvantaged",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.0%,,3154,"All Students","English Learner",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,255,"All Students","Foster care students",,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,2343,"All Students",Homeless,,,,,
2021-2022,ARKANSAS,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.7%,,5028,"All Students",Hispanic/Latino,,,,,
2021-2022,"BUREAU OF INDIAN EDUCATION",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,2032,"All Students","All Students in SEA",,,,,
2021-2022,"BUREAU OF INDIAN EDUCATION",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,2032,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"BUREAU OF INDIAN EDUCATION",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,369,"All Students","Children with disabilities",,,,,
2021-2022,"BUREAU OF INDIAN EDUCATION",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,2032,"All Students","Economically Disadvantaged",,,,,
2021-2022,"BUREAU OF INDIAN EDUCATION",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,150,"All Students","English Learner",,,,,
2021-2022,"BUREAU OF INDIAN EDUCATION",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,76,"All Students",Homeless,,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.0%,,497884,"All Students","All Students in SEA",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,2580,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94.9%,,63077,"All Students","Asian/Pacific Islander",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95.2%,,47100,"All Students",Asian,,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,2390,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.6%,,26811,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.8%,,20423,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.6%,,111065,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.8%,,63360,"All Students","Children with disabilities",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.6%,,347030,"All Students","Economically Disadvantaged",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.8%,,70376,"All Students","English Learner",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",61.4%,,5595,"All Students","Foster care students",,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.9%,,33764,"All Students",Homeless,,,,,
2021-2022,CALIFORNIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.7%,,273928,"All Students",Hispanic/Latino,,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.3%,,68356,"All Students","All Students in SEA",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,506,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,2442,"All Students","Asian/Pacific Islander",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,2249,"All Students",Asian,,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",61%,,193,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,2971,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81%,,2777,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.3%,,36054,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.9%,,7485,"All Students","Children with disabilities",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.9%,,30760,"All Students","Economically Disadvantaged",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.4%,,8633,"All Students","English Learner",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",30%,,600,"All Students","Foster care students",,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,2925,"All Students",Homeless,,,,,
2021-2022,COLORADO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75.1%,,23606,"All Students",Hispanic/Latino,,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.9%,,41027,"All Students","All Students in SEA",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,102,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,2068,"All Students","Asian/Pacific Islander",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,2030,"All Students",Asian,,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,38,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.0%,,5248,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,1266,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.6%,,21832,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.9%,,7464,"All Students","Children with disabilities",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.1%,,19641,"All Students","Economically Disadvantaged",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70%,,2686,"All Students","English Learner",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",57%,,497,"All Students","Foster care students",,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,660,"All Students",Homeless,,,,,
2021-2022,CONNECTICUT,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.3%,,10511,"All Students",Hispanic/Latino,,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.8%,,11037,"All Students","All Students in SEA",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,72,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96%,,469,"All Students","Asian/Pacific Islander",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,450,"All Students",Asian,,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=80%,,19,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.2%,,3512,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,321,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.5%,,4746,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,1847,"All Students","Children with disabilities",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81%,,2942,"All Students","Economically Disadvantaged",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,693,"All Students","English Learner",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,88,"All Students","Foster care students",,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70%,,492,"All Students",Homeless,,,,,
2021-2022,DELAWARE,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,1917,"All Students",Hispanic/Latino,,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.4%,,4364,"All Students","All Students in SEA",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,4,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,59,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,54,"All Students",Asian,,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",S,,5,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75.6%,,3008,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,63,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96%,,373,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",63%,,824,"All Students","Children with disabilities",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,2698,"All Students","Economically Disadvantaged",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,498,"All Students","English Learner",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",43%,,51,"All Students","Foster care students",,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,472,"All Students",Homeless,,,,,
2021-2022,"DISTRICT OF COLUMBIA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,857,"All Students",Hispanic/Latino,,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.3%,,206334,"All Students","All Students in SEA",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86%,,605,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95.7%,,6794,"All Students","Asian/Pacific Islander",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.3%,,6423,"All Students",Asian,,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,371,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.1%,,43333,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.5%,,6686,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.6%,,79499,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.6%,,26282,"All Students","Children with disabilities",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.2%,,107228,"All Students","Economically Disadvantaged",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.1%,,18509,"All Students","English Learner",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",59%,,1193,"All Students","Foster care students",,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74.0%,,9552,"All Students",Homeless,,,,,
2021-2022,FLORIDA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.9%,,69417,"All Students",Hispanic/Latino,,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84.1%,,133280,"All Students","All Students in SEA",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77%,,284,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93.8%,,6289,"All Students","Asian/Pacific Islander",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.2%,,47933,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.4%,,4631,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.4%,,51970,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,GEORGIA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.5%,,16010,"All Students","Children with disabilities",,,,,
